Sample,Average_Probability,Number_of_Batches
TRUST_e38736db-29f5-4e7c-af97-4c6a23607a3b_airr_extracted_trb_frequencies_filtered.tsv,0.521,1
TRUST_e424ca9f-cf37-4a3c-b1c9-623e3456c96d_airr_extracted_trb_frequencies_filtered.tsv,0.5107,1
TRUST_e575d12f-4f1a-49ba-a067-6c174a9b4149_airr_extracted_trb_frequencies_filtered.tsv,0.413,1
TRUST_e5e769c1-eed2-4600-8adc-d06be86b8ee5_airr_extracted_trb_frequencies_filtered.tsv,0.5663,1
TRUST_e6a99fe5-615e-44ae-963c-8e008b5e51cd_airr_extracted_trb_frequencies_filtered.tsv,0.7136,1
TRUST_e6d4f9e4-e997-405e-aefa-3ec75d52e051_airr_extracted_trb_frequencies_filtered.tsv,0.436,1
TRUST_e73048bb-abaa-44ac-b808-c2e17ba9cc46_airr_extracted_trb_frequencies_filtered.tsv,0.5694,1
TRUST_e97d15f7-adcf-4c00-b432-fc84e51ef909_airr_extracted_trb_frequencies_filtered.tsv,0.471,1
TRUST_e9ce0471-bc67-47b2-9e60-886345454300_airr_extracted_trb_frequencies_filtered.tsv,0.6587,1
TRUST_ea5a08d3-eb70-4be3-a587-f3721401400c_airr_extracted_trb_frequencies_filtered.tsv,0.5695,1
TRUST_eacd6dd7-93ff-47f1-bbf6-421c14e982a9_airr_extracted_trb_frequencies_filtered.tsv,0.5493,1
TRUST_eb078b5e-6a60-4022-b8a5-c32f59c0649a_airr_extracted_trb_frequencies_filtered.tsv,0.5558,1
TRUST_eb5a1b23-4c4b-4a6f-b5cb-1b72cc38c56a_airr_extracted_trb_frequencies_filtered.tsv,0.5624,1
TRUST_ef0e22d0-0026-4025-a942-ee234c4ee97f_airr_extracted_trb_frequencies_filtered.tsv,0.6362,1
TRUST_ef749f35-0531-42f1-8109-feed65aab565_airr_extracted_trb_frequencies_filtered.tsv,0.6616,1
TRUST_efb51ed1-9cae-4228-ae90-880489dc933b_airr_extracted_trb_frequencies_filtered.tsv,0.6931,1
TRUST_f0cf56e0-42a4-41fd-b233-352c756eae62_airr_extracted_trb_frequencies_filtered.tsv,0.5945,2
TRUST_f1398ce0-0761-432d-9337-67faa51b6cdd_airr_extracted_trb_frequencies_filtered.tsv,0.4492,1
TRUST_f247c909-3278-4b1e-983f-833276dc8be0_airr_extracted_trb_frequencies_filtered.tsv,0.5602,4
TRUST_f2571f49-f938-4285-ae48-3644a2a03529_airr_extracted_trb_frequencies_filtered.tsv,0.6558,3
TRUST_f30b60ce-703a-4608-aad6-b1673a1b016b_airr_extracted_trb_frequencies_filtered.tsv,0.5682,2
TRUST_f3e3b17e-65c3-4bd4-a895-7a5bad8c6630_airr_extracted_trb_frequencies_filtered.tsv,0.5327,1
TRUST_f534d599-93f9-4a0e-a140-19795f173b57_airr_extracted_trb_frequencies_filtered.tsv,0.6433,1
TRUST_f5588194-69cc-4f74-82a6-66c69dee510a_airr_extracted_trb_frequencies_filtered.tsv,0.5539,1
TRUST_f55f7211-40bb-402a-9319-ea9089e96f93_airr_extracted_trb_frequencies_filtered.tsv,0.4722,1
TRUST_f666680e-ec6d-49bc-9a26-34737814eeb9_airr_extracted_trb_frequencies_filtered.tsv,0.6312,1
TRUST_f807f629-3ad0-4df7-bbf4-30fd598fd13f_airr_extracted_trb_frequencies_filtered.tsv,0.668,1
TRUST_f9540ce1-1a0f-4d93-a5da-1fff9d78b01d_airr_extracted_trb_frequencies_filtered.tsv,0.5207,1
TRUST_fb40bd44-cdcf-4990-b279-a9da45383330_airr_extracted_trb_frequencies_filtered.tsv,0.5231,1
TRUST_fb4e8904-6a86-4c6e-ab3c-aa1eb174e6e4_airr_extracted_trb_frequencies_filtered.tsv,0.4916,1
TRUST_fb55ee8e-6211-4009-8ea3-05226bb610ce_airr_extracted_trb_frequencies_filtered.tsv,0.513,1
TRUST_fb8d4b28-ea5e-47cb-8465-08a475d9bfb1_airr_extracted_trb_frequencies_filtered.tsv,0.6478,2
TRUST_fcc0d141-9ca2-47c2-b1c0-4d6753e6fa20_airr_extracted_trb_frequencies_filtered.tsv,0.6206,8
TRUST_fcf29edc-a464-42f8-8ed4-ac56d5c39bbf_airr_extracted_trb_frequencies_filtered.tsv,0.6668,3
TRUST_fd5fa21b-bdbe-4326-bee6-a15daaefdb51_airr_extracted_trb_frequencies_filtered.tsv,0.6398,1
TRUST_fe20df52-14fb-4e16-b6fc-cc8471c4c094_airr_extracted_trb_frequencies_filtered.tsv,0.643,1
